character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
丰川祥子,我,我,word,14,"""[\""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\"", \""ASVE今天，我们为被28\""]""","""[\""00:01:18.000\"", \""00:01:19.000\"", \""00:01:19.000\"", \""00:01:19.000\"", \""00:02:10.000\""]""",high,BV1SZJP6mEjy
丰川祥子,们,们,word,12,"""[\""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\"", \""ASVE今天，我们为被28\""]""","""[\""00:01:18.000\"", \""00:01:18.000\"", \""00:01:18.000\"", \""00:01:19.000\"", \""00:01:19.000\""]""",high,BV1SZJP6mEjy
丰川祥子,同,同,word,10,"""[\""爱音同学…·.年纪轻轻鸣鸣，居然就\"", \""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\""]""","""[\""00:00:07.000\"", \""00:01:18.000\"", \""00:01:19.000\"", \""00:01:19.000\"", \""00:01:19.000\""]""",high,BV1SZJP6mEjy
丰川祥子,的,的,word,9,"""[\""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\"", \""今天，我们为被害的爱音哀，明天，我们就要让凶手付出代价！\"", \""她对同学的友爱和对集体的\""]""","""[\""00:01:19.000\"", \""00:01:19.000\"", \""00:02:11.000\"", \""00:03:55.000\"", \""00:03:55.000\""]""",high,BV1SZJP6mEjy
丰川祥子,同学,同学,phrase_2char,8,"""[\""爱音同学…·.年纪轻轻鸣鸣，居然就\"", \""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\""]""","""[\""00:00:07.000\"", \""00:01:18.000\"", \""00:01:19.000\"", \""00:01:19.000\"", \""00:01:19.000\""]""",high,BV1SZJP6mEjy
丰川祥子,我们,我们,phrase_2char,8,"""[\""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\"", \""ASVE今天，我们为被28\""]""","""[\""00:01:18.000\"", \""00:01:19.000\"", \""00:01:19.000\"", \""00:01:19.000\"", \""00:02:10.000\""]""",high,BV1SZJP6mEjy
丰川祥子,学,学,word,8,"""[\""爱音同学…·.年纪轻轻鸣鸣，居然就\"", \""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\""]""","""[\""00:00:07.000\"", \""00:01:18.000\"", \""00:01:19.000\"", \""00:01:19.000\"", \""00:01:19.000\""]""",high,BV1SZJP6mEjy
丰川祥子,爱,爱,word,8,"""[\""爱音同学…·.年纪轻轻鸣鸣，居然就\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\"", \""今天，我们为被害的爱音哀，明天，我们就要让凶手付出代价！\""]""","""[\""00:00:07.000\"", \""00:01:19.000\"", \""00:02:11.000\"", \""00:03:55.000\"", \""00:03:56.000\""]""",high,BV1SZJP6mEjy
丰川祥子,天,天,word,7,"""[\""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\"", \""ASVE今天，我们为被28\""]""","""[\""00:01:18.000\"", \""00:01:19.000\"", \""00:02:10.000\"", \""00:02:11.000\"", \""00:02:11.000\""]""",high,BV1SZJP6mEjy
丰川祥子,今天,今天,phrase_2char,6,"""[\""老师们，同学们。今天我们聚在这里，是为\"", \""老师们，同学们。今天我们聚在这里，是为了送别我们共同的同学，也是我们共同的朋友。一十千早爱音同学\"", \""ASVE今天，我们为被28\""]""","""[\""00:01:18.000\"", \""00:01:19.000\"", \""00:02:10.000\"", \""00:02:11.000\"", \""00:06:18.000\""]""",high,BV1SZJP6mEjy
