character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,AUTO,auto,word,86,"[""7AUTO这是我们给你准备的生日"", ""7AUTO我们·决定在你十六岁生"", ""AUTO我们决定在你十六岁生日的时候，告诉你一件很重要的事""]","[""00:00:09.000"", ""00:00:13.000"", ""00:00:15.000"", ""00:00:22.000"", ""00:00:26.000""]",low,BV1nFfyBMEBS
UNKNOWN,的,的,word,80,"[""爱音啊，今天是你的生日，祝你生日快乐！"", ""7AUTO这是我们给你准备的生日"", ""这是我们给你准备的生日礼物""]","[""00:00:08.000"", ""00:00:09.000"", ""00:00:10.000"", ""00:00:14.000"", ""00:00:15.000""]",low,BV1nFfyBMEBS
UNKNOWN,爱,爱,word,61,"[""爱音啊，今天是你的生日，祝你生日快乐！"", ""7AUTO其实·爱音是女孩子。"", ""TAUTO爱""]","[""00:00:08.000"", ""00:00:22.000"", ""00:00:46.000"", ""00:00:47.000"", ""00:00:48.000""]",low,BV1nFfyBMEBS
UNKNOWN,音,音,word,58,"[""爱音啊，今天是你的生日，祝你生日快乐！"", ""7AUTO其实·爱音是女孩子。"", ""爱音总不能和父母说，自己穿""]","[""00:00:08.000"", ""00:00:22.000"", ""00:00:47.000"", ""00:00:48.000"", ""00:00:51.000""]",low,BV1nFfyBMEBS
UNKNOWN,爱音,爱音,phrase_2char,57,"[""爱音啊，今天是你的生日，祝你生日快乐！"", ""7AUTO其实·爱音是女孩子。"", ""爱音总不能和父母说，自己穿""]","[""00:00:08.000"", ""00:00:22.000"", ""00:00:47.000"", ""00:00:48.000"", ""00:00:51.000""]",low,BV1nFfyBMEBS
UNKNOWN,她,她,word,54,"[""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识的学姐过来，夸她好看，就"", ""竟然对她留长发、穿"", ""AUTO竟然对她留长发、穿女装不仅不反对，还非常支""]","[""00:00:53.000"", ""00:01:08.000"", ""00:01:09.000"", ""00:01:10.000"", ""00:01:20.000""]",low,BV1nFfyBMEBS
UNKNOWN,是,是,word,49,"[""爱音啊，今天是你的生日，祝你生日快乐！"", ""7AUTO这是我们给你准备的生日"", ""这是我们给你准备的生日礼物""]","[""00:00:08.000"", ""00:00:09.000"", ""00:00:10.000"", ""00:00:22.000"", ""00:00:26.000""]",low,BV1nFfyBMEBS
UNKNOWN,一,一,word,46,"[""我们决定在你十六岁生日的时候，告诉你一件很重"", ""AUTO我们决定在你十六岁生日的时候，告诉你一件很重要的事"", ""AUTO是啊，那时候一""]","[""00:00:14.000"", ""00:00:15.000"", ""00:00:29.000"", ""00:00:30.000"", ""00:00:31.000""]",low,BV1nFfyBMEBS
UNKNOWN,不,不,word,43,"[""T希望你不要太惊讶，可以"", ""爱音总不能和父母说，自己穿"", ""爱音总不能和父母说，自己穿女装其实是想当男娘吧""]","[""00:00:18.000"", ""00:00:47.000"", ""00:00:48.000"", ""00:00:51.000"", ""00:00:52.000""]",low,BV1nFfyBMEBS
UNKNOWN,了,了,word,40,"[""是啊，那时候一个亲戚说你长得像男孩，你却听进去，还把它当真了"", ""AUTO后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女生就该有女生的样子了"", ""AUTO怎么了么？""]","[""00:00:31.000"", ""00:00:39.000"", ""00:00:43.000"", ""00:01:04.000"", ""00:01:04.000""]",low,BV1nFfyBMEBS
UNKNOWN,你,你,word,31,"[""爱音啊，今天是你的生日，祝你生日快乐！"", ""7AUTO这是我们给你准备的生日"", ""这是我们给你准备的生日礼物""]","[""00:00:08.000"", ""00:00:08.000"", ""00:00:09.000"", ""00:00:10.000"", ""00:00:13.000""]",low,BV1nFfyBMEBS
UNKNOWN,自,自,word,30,"[""爱音总不能和父母说，自己穿"", ""爱音总不能和父母说，自己穿女装其实是想当男娘吧"", ""仔细想想，自己第一次穿""]","[""00:00:47.000"", ""00:00:48.000"", ""00:00:50.000"", ""00:00:51.000"", ""00:00:52.000""]",low,BV1nFfyBMEBS
UNKNOWN,在,在,word,28,"[""7AUTO我们·决定在你十六岁生"", ""我们决定在你十六岁生日的时候，告诉你一件很重"", ""AUTO我们决定在你十六岁生日的时候，告诉你一件很重要的事""]","[""00:00:13.000"", ""00:00:14.000"", ""00:00:15.000"", ""00:00:27.000"", ""00:01:53.000""]",low,BV1nFfyBMEBS
UNKNOWN,想,想,word,28,"[""爱音总不能和父母说，自己穿女装其实是想当男娘吧"", ""仔细想想，自己第一次穿"", ""仔细想想，自己第一次穿裙子上学时，原本爱音还不太""]","[""00:00:48.000"", ""00:00:50.000"", ""00:00:50.000"", ""00:00:51.000"", ""00:00:51.000""]",low,BV1nFfyBMEBS
UNKNOWN,个,个,word,26,"[""是啊，那时候一个亲戚说你长得像男孩，你"", ""是啊，那时候一个亲戚说你长得像男孩，你却听进去，还把它当真了"", ""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识""]","[""00:00:30.000"", ""00:00:31.000"", ""00:00:52.000"", ""00:00:53.000"", ""00:00:58.000""]",low,BV1nFfyBMEBS
UNKNOWN,女,女,word,26,"[""7AUTO其实·爱音是女孩子。"", ""后来某天，你从学校回来后突然要求穿女装，我们高"", ""后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女""]","[""00:00:22.000"", ""00:00:37.000"", ""00:00:38.000"", ""00:00:38.000"", ""00:00:39.000""]",low,BV1nFfyBMEBS
UNKNOWN,们,们,word,25,"[""7AUTO这是我们给你准备的生日"", ""这是我们给你准备的生日礼物"", ""7AUTO我们·决定在你十六岁生""]","[""00:00:09.000"", ""00:00:10.000"", ""00:00:13.000"", ""00:00:14.000"", ""00:00:15.000""]",low,BV1nFfyBMEBS
UNKNOWN,学,学,word,25,"[""AUTO后来某天，你从学校回"", ""后来某天，你从学校回来后突然要求穿女装，我们高"", ""后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女""]","[""00:00:36.000"", ""00:00:37.000"", ""00:00:38.000"", ""00:00:39.000"", ""00:00:51.000""]",low,BV1nFfyBMEBS
UNKNOWN,时,时,word,25,"[""我们决定在你十六岁生日的时候，告诉你一件很重"", ""AUTO我们决定在你十六岁生日的时候，告诉你一件很重要的事"", ""是我们的问题，在你还小的时候没有及""]","[""00:00:14.000"", ""00:00:15.000"", ""00:00:27.000"", ""00:00:29.000"", ""00:00:30.000""]",low,BV1nFfyBMEBS
UNKNOWN,自己,自己,phrase_2char,24,"[""爱音总不能和父母说，自己穿"", ""爱音总不能和父母说，自己穿女装其实是想当男娘吧"", ""仔细想想，自己第一次穿""]","[""00:00:47.000"", ""00:00:48.000"", ""00:00:50.000"", ""00:00:51.000"", ""00:00:52.000""]",low,BV1nFfyBMEBS
UNKNOWN,己,己,word,24,"[""爱音总不能和父母说，自己穿"", ""爱音总不能和父母说，自己穿女装其实是想当男娘吧"", ""仔细想想，自己第一次穿""]","[""00:00:47.000"", ""00:00:48.000"", ""00:00:50.000"", ""00:00:51.000"", ""00:00:52.000""]",low,BV1nFfyBMEBS
UNKNOWN,有,有,word,24,"[""是我们的问题，在你还小的时候没有及"", ""你小时候都是穿男孩子的衣服多，我们也没有太计较"", ""AUTO后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女生就该有女生的样子了""]","[""00:00:27.000"", ""00:00:34.000"", ""00:00:39.000"", ""00:00:52.000"", ""00:00:53.000""]",low,BV1nFfyBMEBS
UNKNOWN,那,那,word,24,"[""AUTO是啊，那时候一"", ""是啊，那时候一个亲戚说你长得像男孩，你"", ""是啊，那时候一个亲戚说你长得像男孩，你却听进去，还把它当真了""]","[""00:00:29.000"", ""00:00:30.000"", ""00:00:31.000"", ""00:01:27.000"", ""00:01:28.000""]",low,BV1nFfyBMEBS
UNKNOWN,生,生,word,23,"[""爱音啊，今天是你的生日，祝你生日快乐！"", ""7AUTO这是我们给你准备的生日"", ""这是我们给你准备的生日礼物""]","[""00:00:08.000"", ""00:00:08.000"", ""00:00:09.000"", ""00:00:10.000"", ""00:00:13.000""]",low,BV1nFfyBMEBS
UNKNOWN,这,这,word,21,"[""7AUTO这是我们给你准备的生日"", ""这是我们给你准备的生日礼物"", ""这次穿了女装来上学，更是可以以假乱真了""]","[""00:00:09.000"", ""00:00:10.000"", ""00:01:04.000"", ""00:01:12.000"", ""00:01:33.000""]",low,BV1nFfyBMEBS
UNKNOWN,到,到,word,20,"[""没想到"", ""没想到爸妈点头表示同意"", ""AUTO体育课的时候，她总要等到""]","[""00:01:30.000"", ""00:01:31.000"", ""00:01:36.000"", ""00:01:37.000"", ""00:01:38.000""]",low,BV1nFfyBMEBS
UNKNOWN,本,本,word,20,"[""仔细想想，自己第一次穿裙子上学时，原本爱音还不太"", ""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识"", ""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识的学姐过来，夸她好看，就""]","[""00:00:51.000"", ""00:00:52.000"", ""00:00:53.000"", ""00:02:47.000"", ""00:02:53.000""]",low,BV1nFfyBMEBS
UNKNOWN,然,然,word,20,"[""后来某天，你从学校回来后突然要求穿女装，我们高"", ""后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女"", ""AUTO后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女生就该有女生的样子了""]","[""00:00:37.000"", ""00:00:38.000"", ""00:00:39.000"", ""00:01:08.000"", ""00:01:09.000""]",low,BV1nFfyBMEBS
UNKNOWN,后,后,word,18,"[""AUTO后来某天，你从学校回"", ""后来某天，你从学校回来后突然要求穿女装，我们高"", ""后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女""]","[""00:00:36.000"", ""00:00:37.000"", ""00:00:37.000"", ""00:00:38.000"", ""00:00:38.000""]",low,BV1nFfyBMEBS
UNKNOWN,男,男,word,18,"[""是啊，那时候一个亲戚说你长得像男孩，你"", ""是啊，那时候一个亲戚说你长得像男孩，你却听进去，还把它当真了"", ""AUTO你小时候都是穿男孩子的""]","[""00:00:30.000"", ""00:00:31.000"", ""00:00:33.000"", ""00:00:34.000"", ""00:00:48.000""]",low,BV1nFfyBMEBS
UNKNOWN,子,子,word,16,"[""7AUTO其实·爱音是女孩子。"", ""AUTO你小时候都是穿男孩子的"", ""你小时候都是穿男孩子的衣服多，我们也没有太计较""]","[""00:00:22.000"", ""00:00:33.000"", ""00:00:34.000"", ""00:00:39.000"", ""00:00:51.000""]",low,BV1nFfyBMEBS
UNKNOWN,就,就,word,15,"[""AUTO后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女生就该有女生的样子了"", ""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识的学姐过来，夸她好看，就"", ""AUTO那时爱音自己早已做好了被大骂一顿的准备，刚开口就后悔了""]","[""00:00:39.000"", ""00:00:53.000"", ""00:01:29.000"", ""00:01:33.000"", ""00:01:34.000""]",low,BV1nFfyBMEBS
UNKNOWN,穿,穿,word,15,"[""AUTO你小时候都是穿男孩子的"", ""你小时候都是穿男孩子的衣服多，我们也没有太计较"", ""后来某天，你从学校回来后突然要求穿女装，我们高""]","[""00:00:33.000"", ""00:00:34.000"", ""00:00:37.000"", ""00:00:38.000"", ""00:00:39.000""]",low,BV1nFfyBMEBS
UNKNOWN,要,要,word,15,"[""AUTO我们决定在你十六岁生日的时候，告诉你一件很重要的事"", ""T希望你不要太惊讶，可以"", ""后来某天，你从学校回来后突然要求穿女装，我们高""]","[""00:00:15.000"", ""00:00:18.000"", ""00:00:37.000"", ""00:00:38.000"", ""00:00:39.000""]",low,BV1nFfyBMEBS
UNKNOWN,为,为,word,14,"[""后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女"", ""AUTO后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女生就该有女生的样子了"", ""AUTO没想到父母竟然为""]","[""00:00:38.000"", ""00:00:39.000"", ""00:02:16.000"", ""00:02:17.000"", ""00:02:19.000""]",low,BV1nFfyBMEBS
UNKNOWN,也,也,word,14,"[""你小时候都是穿男孩子的衣服多，我们也没有太计较"", ""爱音比其他几个也想"", ""AUTO爱音比其他几个也想做男娘的同好都要更像女生""]","[""00:00:34.000"", ""00:00:58.000"", ""00:00:59.000"", ""00:01:01.000"", ""00:01:25.000""]",low,BV1nFfyBMEBS
UNKNOWN,别,别,word,14,"[""[无法识别]"", ""AUTO她想转学，去一个没有人会知道她真实性别的地方，开启自己"", ""平时更是一刻不停地学习别人""]","[""00:00:00.000"", ""00:00:01.000"", ""00:00:04.000"", ""00:00:07.000"", ""00:01:22.000""]",low,BV1nFfyBMEBS
UNKNOWN,来,来,word,14,"[""AUTO后来某天，你从学校回"", ""后来某天，你从学校回来后突然要求穿女装，我们高"", ""后来某天，你从学校回来后突然要求穿女装，我们高兴得很，以为你终于明白女""]","[""00:00:36.000"", ""00:00:37.000"", ""00:00:37.000"", ""00:00:38.000"", ""00:00:38.000""]",low,BV1nFfyBMEBS
UNKNOWN,没,没,word,14,"[""是我们的问题，在你还小的时候没有及"", ""你小时候都是穿男孩子的衣服多，我们也没有太计较"", ""AUTO他们只能捶胸顿足感叹自己没有这样的福气了""]","[""00:00:27.000"", ""00:00:34.000"", ""00:01:12.000"", ""00:01:21.000"", ""00:01:22.000""]",low,BV1nFfyBMEBS
UNKNOWN,看,看,word,14,"[""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识的学姐过来，夸她好看，就"", ""AUTO看"", ""AUTO看来自己有天生当男娘的潜力""]","[""00:00:53.000"", ""00:00:55.000"", ""00:00:56.000"", ""00:02:07.000"", ""00:02:08.000""]",low,BV1nFfyBMEBS
UNKNOWN,我们,我们,phrase_2char,13,"[""7AUTO这是我们给你准备的生日"", ""这是我们给你准备的生日礼物"", ""7AUTO我们·决定在你十六岁生""]","[""00:00:09.000"", ""00:00:10.000"", ""00:00:13.000"", ""00:00:14.000"", ""00:00:15.000""]",low,BV1nFfyBMEBS
UNKNOWN,地,地,word,13,"[""AUTO她想转学，去一个没有人会知道她真实性别的地方，开启自己"", ""AUTO爱音就这样一知半解地，带着同"", ""爱音就这样一知半解地，带着同好们的祝福开启了新生活""]","[""00:01:22.000"", ""00:01:33.000"", ""00:01:34.000"", ""00:01:38.000"", ""00:01:40.000""]",low,BV1nFfyBMEBS
UNKNOWN,好,好,word,13,"[""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识"", ""AUTO仔细想想，自己第一次穿裙子上学时，原本爱音还不太自信，可恰好有几个不认识的学姐过来，夸她好看，就"", ""AUTO爱音比其他几个也想做男娘的同好都要更像女生""]","[""00:00:52.000"", ""00:00:53.000"", ""00:00:53.000"", ""00:00:59.000"", ""00:01:06.000""]",low,BV1nFfyBMEBS
UNKNOWN,妈,妈,word,13,"[""没想到爸妈点头表示同意"", ""爸爸妈妈.·谢谢"", ""AUTO爸爸妈妈··谢谢你们，谢谢你们！""]","[""00:01:31.000"", ""00:02:21.000"", ""00:02:21.000"", ""00:02:22.000"", ""00:02:22.000""]",low,BV1nFfyBMEBS
UNKNOWN,对,对,word,13,"[""竟然对她留长发、穿"", ""AUTO竟然对她留长发、穿女装不仅不反对，还非常支"", ""竟然对她留长发、穿女装不仅不反对，还非常支持""]","[""00:01:08.000"", ""00:01:09.000"", ""00:01:09.000"", ""00:01:10.000"", ""00:01:10.000""]",low,BV1nFfyBMEBS
